id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment,country,country_clean
AF1915092,246,6,44712.00,5.51,1.95,10.71,2,may lose,AF,Afghanistan
AF1915452,267,1,19908.00,5.59,0.69,9.90,2,may lose,AF,Afghanistan
AF1918074,323,1,19428.00,5.78,0.69,9.87,2,may lose,AF,Afghanistan
AF1920168,120,1,12942.00,4.80,0.69,9.47,2,may lose,AF,Afghanistan
AF2137002,351,1,20994.00,5.86,0.69,9.95,2,may lose,AF,Afghanistan
AF2156910,141,3,85392.00,4.96,1.39,11.36,0,can not lose,AF,Afghanistan
AF2216760,169,3,39060.00,5.14,1.39,10.57,2,may lose,AF,Afghanistan
AF2480190,141,1,17256.00,4.96,0.69,9.76,2,may lose,AF,Afghanistan
AF2815722,36,3,78138.00,3.61,1.39,11.27,4,new customers with low buying ability,AF,Afghanistan
AF3301770,155,1,19764.00,5.05,0.69,9.89,2,may lose,AF,Afghanistan
AF3390108,267,1,32862.00,5.59,0.69,10.40,2,may lose,AF,Afghanistan
AF3408666,218,1,20484.00,5.39,0.69,9.93,2,may lose,AF,Afghanistan
AF3409638,330,2,23142.00,5.80,1.10,10.05,2,may lose,AF,Afghanistan
AF3411132,120,1,19764.00,4.80,0.69,9.89,2,may lose,AF,Afghanistan
AF3482490,15,7,565338.00,2.77,2.08,13.25,1,new customers with high buying ability,AF,Afghanistan
AF3746010,358,1,12918.00,5.88,0.69,9.47,2,may lose,AF,Afghanistan
AF3830808,29,1,20838.00,3.40,0.69,9.94,4,new customers with low buying ability,AF,Afghanistan
AF3894282,29,1,19764.00,3.40,0.69,9.89,4,new customers with low buying ability,AF,Afghanistan
AF4283280,148,1,13020.00,5.00,0.69,9.47,2,may lose,AF,Afghanistan
BD186044832,127,1,13878.00,4.85,0.69,9.54,2,may lose,BD,Bangladesh
BD186045222,148,1,12144.00,5.00,0.69,9.40,2,may lose,BD,Bangladesh
BD186045594,15,1,6594.00,2.77,0.69,8.79,4,new customers with low buying ability,BD,Bangladesh
BD186062922,50,1,11994.00,3.93,0.69,9.39,2,may lose,BD,Bangladesh
BD186093270,113,1,12144.00,4.74,0.69,9.40,2,may lose,BD,Bangladesh
BD2531340,15,14,467754.00,2.77,2.71,13.06,1,new customers with high buying ability,BD,Bangladesh
BD2532186,15,5,234204.00,2.77,1.79,12.36,1,new customers with high buying ability,BD,Bangladesh
BD2533044,316,1,285306.00,5.76,0.69,12.56,0,can not lose,BD,Bangladesh
BD2533500,113,1,121440.00,4.74,0.69,11.71,0,can not lose,BD,Bangladesh
BD2534070,218,1,12144.00,5.39,0.69,9.40,2,may lose,BD,Bangladesh
BD2534886,99,10,1834644.00,4.61,2.40,14.42,5,need bring back,BD,Bangladesh
BD2535708,169,1,20790.00,5.14,0.69,9.94,2,may lose,BD,Bangladesh
BD2535960,92,2,38166.00,4.53,1.10,10.55,2,may lose,BD,Bangladesh
BD2536170,316,2,51270.00,5.76,1.10,10.84,0,can not lose,BD,Bangladesh
BD2536524,309,1,79470.00,5.74,0.69,11.28,0,can not lose,BD,Bangladesh
BD2536650,85,2,48576.00,4.45,1.10,10.79,4,new customers with low buying ability,BD,Bangladesh
BD2537304,57,2,35400.00,4.06,1.10,10.47,4,new customers with low buying ability,BD,Bangladesh
BD2539146,337,1,15786.00,5.82,0.69,9.67,2,may lose,BD,Bangladesh
BD2539692,15,1,12264.00,2.77,0.69,9.41,4,new customers with low buying ability,BD,Bangladesh
BD2539800,295,1,12144.00,5.69,0.69,9.40,2,may lose,BD,Bangladesh
BD2541636,323,1,82206.00,5.78,0.69,11.32,0,can not lose,BD,Bangladesh
BD2542158,99,1,60720.00,4.61,0.69,11.01,0,can not lose,BD,Bangladesh
BD2542488,190,1,12144.00,5.25,0.69,9.40,2,may lose,BD,Bangladesh
BD2543208,8,1,15678.00,2.20,0.69,9.66,4,new customers with low buying ability,BD,Bangladesh
BD2543718,330,1,29010.00,5.80,0.69,10.28,2,may lose,BD,Bangladesh
BD2544252,330,2,516474.00,5.80,1.10,13.15,5,need bring back,BD,Bangladesh
BD2544300,225,1,13878.00,5.42,0.69,9.54,2,may lose,BD,Bangladesh
BD2544354,302,1,24288.00,5.71,0.69,10.10,2,may lose,BD,Bangladesh
BD2545200,106,2,83280.00,4.67,1.10,11.33,0,can not lose,BD,Bangladesh
BD2545602,50,6,71298.00,3.93,1.95,11.17,4,new customers with low buying ability,BD,Bangladesh
BD2546556,92,2,27756.00,4.53,1.10,10.23,2,may lose,BD,Bangladesh
BD2548158,281,1,12144.00,5.64,0.69,9.40,2,may lose,BD,Bangladesh
BD2548434,57,3,38286.00,4.06,1.39,10.55,4,new customers with low buying ability,BD,Bangladesh
BD2549754,253,1,13878.00,5.54,0.69,9.54,2,may lose,BD,Bangladesh
BD2550006,316,1,24288.00,5.76,0.69,10.10,2,may lose,BD,Bangladesh
BD2550654,22,2,26574.00,3.14,1.10,10.19,4,new customers with low buying ability,BD,Bangladesh
BD2551872,316,1,23136.00,5.76,0.69,10.05,2,may lose,BD,Bangladesh
BD2552442,162,3,187110.00,5.09,1.39,12.14,0,can not lose,BD,Bangladesh
BD2552586,36,2,122040.00,3.61,1.10,11.71,4,new customers with low buying ability,BD,Bangladesh
BD2552664,309,2,140778.00,5.74,1.10,11.85,0,can not lose,BD,Bangladesh
BD2553510,337,1,18042.00,5.82,0.69,9.80,2,may lose,BD,Bangladesh
BD2553882,36,14,269196.00,3.61,2.71,12.50,1,new customers with high buying ability,BD,Bangladesh
BD2556318,120,3,48576.00,4.80,1.39,10.79,2,may lose,BD,Bangladesh
BD2557662,323,1,34704.00,5.78,0.69,10.45,2,may lose,BD,Bangladesh
BD2557668,15,5,1064328.00,2.77,1.79,13.88,1,new customers with high buying ability,BD,Bangladesh
BD2558094,22,12,555180.00,3.14,2.56,13.23,1,new customers with high buying ability,BD,Bangladesh
BD2558526,64,1,40896.00,4.17,0.69,10.62,4,new customers with low buying ability,BD,Bangladesh
BD2558784,92,1,12144.00,4.53,0.69,9.40,2,may lose,BD,Bangladesh
BD2559516,127,1,22260.00,4.85,0.69,10.01,2,may lose,BD,Bangladesh
BD2561136,71,6,336024.00,4.28,1.95,12.72,5,need bring back,BD,Bangladesh
BD2561976,337,1,20790.00,5.82,0.69,9.94,2,may lose,BD,Bangladesh
BD2563056,183,2,35280.00,5.21,1.10,10.47,2,may lose,BD,Bangladesh
BD2563218,36,1,12264.00,3.61,0.69,9.41,2,may lose,BD,Bangladesh
BD2564790,8,13,204756.00,2.20,2.64,12.23,1,new customers with high buying ability,BD,Bangladesh
BD2565342,50,10,145980.00,3.93,2.40,11.89,4,new customers with low buying ability,BD,Bangladesh
BD2565684,8,11,185388.00,2.20,2.48,12.13,1,new customers with high buying ability,BD,Bangladesh
BD2566248,351,1,18042.00,5.86,0.69,9.80,2,may lose,BD,Bangladesh
BD2566398,281,5,281556.00,5.64,1.79,12.55,0,can not lose,BD,Bangladesh
BD2567262,36,1,13632.00,3.61,0.69,9.52,2,may lose,BD,Bangladesh
BD2567310,113,2,0.00,4.74,1.10,0.00,2,may lose,BD,Bangladesh
BD2567538,8,8,248682.00,2.20,2.20,12.42,1,new customers with high buying ability,BD,Bangladesh
BD2570766,162,1,12144.00,5.09,0.69,9.40,2,may lose,BD,Bangladesh
BD2571558,29,1,12264.00,3.40,0.69,9.41,2,may lose,BD,Bangladesh
BD2572152,50,2,31674.00,3.93,1.10,10.36,4,new customers with low buying ability,BD,Bangladesh
BD2572512,344,1,15786.00,5.84,0.69,9.67,2,may lose,BD,Bangladesh
BD2572974,15,7,125868.00,2.77,2.08,11.74,4,new customers with low buying ability,BD,Bangladesh
BD2573232,274,1,26028.00,5.62,0.69,10.17,2,may lose,BD,Bangladesh
BD2573322,239,3,268638.00,5.48,1.39,12.50,0,can not lose,BD,Bangladesh
BD2573724,281,3,362904.00,5.64,1.39,12.80,5,need bring back,BD,Bangladesh
BD2573946,316,1,12144.00,5.76,0.69,9.40,2,may lose,BD,Bangladesh
BD2574162,302,1,53106.00,5.71,0.69,10.88,0,can not lose,BD,Bangladesh
BD2574432,106,11,220326.00,4.67,2.48,12.30,5,need bring back,BD,Bangladesh
BD2574774,106,1,10410.00,4.67,0.69,9.25,2,may lose,BD,Bangladesh
BD2576208,36,1,12264.00,3.61,0.69,9.41,2,may lose,BD,Bangladesh
BD2576814,15,2,83040.00,2.77,1.10,11.33,4,new customers with low buying ability,BD,Bangladesh
BD2576838,36,1,13632.00,3.61,0.69,9.52,2,may lose,BD,Bangladesh
BD2576898,309,3,138714.00,5.74,1.39,11.84,0,can not lose,BD,Bangladesh
BD2577150,190,1,194688.00,5.25,0.69,12.18,0,can not lose,BD,Bangladesh
BD2580342,169,1,20790.00,5.14,0.69,9.94,2,may lose,BD,Bangladesh
BD2580462,323,1,23136.00,5.78,0.69,10.05,2,may lose,BD,Bangladesh
BD2581062,99,4,50310.00,4.61,1.61,10.83,4,new customers with low buying ability,BD,Bangladesh
BD2581890,169,1,12144.00,5.14,0.69,9.40,2,may lose,BD,Bangladesh
BD2581998,204,1,13878.00,5.32,0.69,9.54,2,may lose,BD,Bangladesh
BD2582448,57,4,281586.00,4.06,1.61,12.55,5,need bring back,BD,Bangladesh
BD2582634,190,1,12144.00,5.25,0.69,9.40,2,may lose,BD,Bangladesh
BD2583966,302,2,715236.00,5.71,1.10,13.48,5,need bring back,BD,Bangladesh
BD2584140,50,1,27264.00,3.93,0.69,10.21,4,new customers with low buying ability,BD,Bangladesh
BD2584572,43,12,172482.00,3.78,2.56,12.06,4,new customers with low buying ability,BD,Bangladesh
BD2585022,15,5,79992.00,2.77,1.79,11.29,4,new customers with low buying ability,BD,Bangladesh
BD2586462,15,31,477300.00,2.77,3.47,13.08,1,new customers with high buying ability,BD,Bangladesh
BD2586954,22,1,47034.00,3.14,0.69,10.76,4,new customers with low buying ability,BD,Bangladesh
BD2588028,190,1,12144.00,5.25,0.69,9.40,2,may lose,BD,Bangladesh
BD2589354,295,1,12144.00,5.69,0.69,9.40,2,may lose,BD,Bangladesh
BD2592534,253,1,10410.00,5.54,0.69,9.25,2,may lose,BD,Bangladesh
BD2593380,323,1,46926.00,5.78,0.69,10.76,2,may lose,BD,Bangladesh
BD2593602,22,20,378738.00,3.14,3.04,12.84,1,new customers with high buying ability,BD,Bangladesh
BD2594124,183,1,188202.00,5.21,0.69,12.15,0,can not lose,BD,Bangladesh
BD2594148,50,3,52566.00,3.93,1.39,10.87,4,new customers with low buying ability,BD,Bangladesh
BD2595882,330,2,118572.00,5.80,1.10,11.68,0,can not lose,BD,Bangladesh
BD2596752,29,1,194688.00,3.40,0.69,12.18,4,new customers with low buying ability,BD,Bangladesh
BD2596986,246,1,13878.00,5.51,0.69,9.54,2,may lose,BD,Bangladesh
BD2597010,36,1,40896.00,3.61,0.69,10.62,4,new customers with low buying ability,BD,Bangladesh
BD2597340,169,1,20790.00,5.14,0.69,9.94,2,may lose,BD,Bangladesh
BD2597652,64,2,19638.00,4.17,1.10,9.89,2,may lose,BD,Bangladesh
BD2598048,99,3,38166.00,4.61,1.39,10.55,2,may lose,BD,Bangladesh
BD2599086,281,5,367392.00,5.64,1.79,12.81,5,need bring back,BD,Bangladesh
BD2599488,155,1,13878.00,5.05,0.69,9.54,2,may lose,BD,Bangladesh
BD2601540,155,3,52044.00,5.05,1.39,10.86,0,can not lose,BD,Bangladesh
BD2601666,99,1,186138.00,4.61,0.69,12.13,0,can not lose,BD,Bangladesh
BD2602170,309,2,93852.00,5.74,1.10,11.45,0,can not lose,BD,Bangladesh
BD2602548,36,1,27264.00,3.61,0.69,10.21,4,new customers with low buying ability,BD,Bangladesh
BD2603676,43,7,92652.00,3.78,2.08,11.44,4,new customers with low buying ability,BD,Bangladesh
BD2604222,295,2,24288.00,5.69,1.10,10.10,2,may lose,BD,Bangladesh
BD2605896,85,2,26022.00,4.45,1.10,10.17,2,may lose,BD,Bangladesh
BD2606934,239,3,62370.00,5.48,1.39,11.04,0,can not lose,BD,Bangladesh
BD2607084,295,1,12144.00,5.69,0.69,9.40,2,may lose,BD,Bangladesh
BD2609922,225,1,23136.00,5.42,0.69,10.05,2,may lose,BD,Bangladesh
BD2611380,15,2,65688.00,2.77,1.10,11.09,4,new customers with low buying ability,BD,Bangladesh
BD2613036,36,6,111618.00,3.61,1.95,11.62,4,new customers with low buying ability,BD,Bangladesh
BD2613780,120,1,13878.00,4.80,0.69,9.54,2,may lose,BD,Bangladesh
BD2615898,134,1,12144.00,4.91,0.69,9.40,2,may lose,BD,Bangladesh
BD2615928,15,12,137532.00,2.77,2.56,11.83,4,new customers with low buying ability,BD,Bangladesh
BD2616540,106,3,45108.00,4.67,1.39,10.72,2,may lose,BD,Bangladesh
BD2616990,309,2,72396.00,5.74,1.10,11.19,0,can not lose,BD,Bangladesh
BD2617014,15,3,38286.00,2.77,1.39,10.55,4,new customers with low buying ability,BD,Bangladesh
BD2618946,71,14,685524.00,4.28,2.71,13.44,5,need bring back,BD,Bangladesh
BD2619228,36,2,27264.00,3.61,1.10,10.21,4,new customers with low buying ability,BD,Bangladesh
BD2786952,239,1,1488000.00,5.48,0.69,14.21,5,need bring back,BD,Bangladesh
BD2792148,351,1,15786.00,5.86,0.69,9.67,2,may lose,BD,Bangladesh
BD2816790,190,1,27762.00,5.25,0.69,10.23,2,may lose,BD,Bangladesh
BD2837520,330,1,46926.00,5.80,0.69,10.76,2,may lose,BD,Bangladesh
BD2841006,92,1,12144.00,4.53,0.69,9.40,2,may lose,BD,Bangladesh
BD2850102,113,1,194688.00,4.74,0.69,12.18,0,can not lose,BD,Bangladesh
BD2850936,50,2,24528.00,3.93,1.10,10.11,4,new customers with low buying ability,BD,Bangladesh
BD2958516,267,1,52056.00,5.59,0.69,10.86,2,may lose,BD,Bangladesh
BD2960070,15,12,206562.00,2.77,2.56,12.24,1,new customers with high buying ability,BD,Bangladesh
BD2968368,344,1,46926.00,5.84,0.69,10.76,2,may lose,BD,Bangladesh
BD2969856,337,1,18042.00,5.82,0.69,9.80,2,may lose,BD,Bangladesh
BD2971710,22,1,13632.00,3.14,0.69,9.52,4,new customers with low buying ability,BD,Bangladesh
BD2975346,323,1,52056.00,5.78,0.69,10.86,0,can not lose,BD,Bangladesh
BD2976120,50,3,228234.00,3.93,1.39,12.34,4,new customers with low buying ability,BD,Bangladesh
BD3036696,351,1,15786.00,5.86,0.69,9.67,2,may lose,BD,Bangladesh
BD3145638,29,3,245280.00,3.40,1.39,12.41,4,new customers with low buying ability,BD,Bangladesh
BD3152364,50,2,22674.00,3.93,1.10,10.03,2,may lose,BD,Bangladesh
BD3158424,85,3,68238.00,4.45,1.39,11.13,4,new customers with low buying ability,BD,Bangladesh
BD3164070,162,6,83964.00,5.09,1.95,11.34,0,can not lose,BD,Bangladesh
BD3165954,50,3,51792.00,3.93,1.39,10.86,4,new customers with low buying ability,BD,Bangladesh
BD3199836,99,1,13878.00,4.61,0.69,9.54,2,may lose,BD,Bangladesh
BD3210264,29,1,13632.00,3.40,0.69,9.52,4,new customers with low buying ability,BD,Bangladesh
BD3277152,50,2,25896.00,3.93,1.10,10.16,4,new customers with low buying ability,BD,Bangladesh
BD3277620,190,2,23946.00,5.25,1.10,10.08,2,may lose,BD,Bangladesh
BD3312678,351,1,15786.00,5.86,0.69,9.67,2,may lose,BD,Bangladesh
BD3313362,253,1,10410.00,5.54,0.69,9.25,2,may lose,BD,Bangladesh
BD3343182,1,5,69144.00,0.69,1.79,11.14,4,new customers with low buying ability,BD,Bangladesh
BD3345570,29,2,191736.00,3.40,1.10,12.16,4,new customers with low buying ability,BD,Bangladesh
BD3356652,302,1,41580.00,5.71,0.69,10.64,2,may lose,BD,Bangladesh
BD3389220,64,1,12264.00,4.17,0.69,9.41,2,may lose,BD,Bangladesh
BD3395496,358,1,29010.00,5.88,0.69,10.28,2,may lose,BD,Bangladesh
BD3428364,15,11,181824.00,2.77,2.48,12.11,1,new customers with high buying ability,BD,Bangladesh
BD3430722,365,1,29010.00,5.90,0.69,10.28,2,may lose,BD,Bangladesh
BD3434460,50,2,91416.00,3.93,1.10,11.42,4,new customers with low buying ability,BD,Bangladesh
BD3435000,99,6,288324.00,4.61,1.95,12.57,5,need bring back,BD,Bangladesh
BD3460968,288,1,46926.00,5.67,0.69,10.76,2,may lose,BD,Bangladesh
BD3474576,36,1,27252.00,3.61,0.69,10.21,4,new customers with low buying ability,BD,Bangladesh
BD3482358,330,1,46926.00,5.80,0.69,10.76,2,may lose,BD,Bangladesh
BD3482550,8,1,13632.00,2.20,0.69,9.52,4,new customers with low buying ability,BD,Bangladesh
BD3486792,15,1,12264.00,2.77,0.69,9.41,4,new customers with low buying ability,BD,Bangladesh
BD3508542,246,4,132450.00,5.51,1.61,11.79,0,can not lose,BD,Bangladesh
BD3523662,190,1,12144.00,5.25,0.69,9.40,2,may lose,BD,Bangladesh
BD3563100,1,1,15678.00,0.69,0.69,9.66,4,new customers with low buying ability,BD,Bangladesh
BD3564672,15,2,24528.00,2.77,1.10,10.11,4,new customers with low buying ability,BD,Bangladesh
BD3578166,204,1,20790.00,5.32,0.69,9.94,2,may lose,BD,Bangladesh
BD3578556,99,1,10410.00,4.61,0.69,9.25,2,may lose,BD,Bangladesh
BD3584778,162,1,13878.00,5.09,0.69,9.54,2,may lose,BD,Bangladesh
BD3596244,337,1,234630.00,5.82,0.69,12.37,0,can not lose,BD,Bangladesh
BD3637338,295,1,27756.00,5.69,0.69,10.23,2,may lose,BD,Bangladesh
BD3647592,337,1,13536.00,5.82,0.69,9.51,2,may lose,BD,Bangladesh
BD3649026,162,1,20790.00,5.09,0.69,9.94,2,may lose,BD,Bangladesh
BD3653868,127,1,20790.00,4.85,0.69,9.94,2,may lose,BD,Bangladesh
BD3654714,344,1,134586.00,5.84,0.69,11.81,0,can not lose,BD,Bangladesh
BD3656742,295,1,46926.00,5.69,0.69,10.76,2,may lose,BD,Bangladesh
BD3673806,106,1,13878.00,4.67,0.69,9.54,2,may lose,BD,Bangladesh
BD3694068,22,1,12264.00,3.14,0.69,9.41,4,new customers with low buying ability,BD,Bangladesh
BD3695340,22,9,407118.00,3.14,2.30,12.92,1,new customers with high buying ability,BD,Bangladesh
BD3738456,92,1,10410.00,4.53,0.69,9.25,2,may lose,BD,Bangladesh
BD3740580,169,3,39900.00,5.14,1.39,10.59,2,may lose,BD,Bangladesh
BD3801120,57,5,74724.00,4.06,1.79,11.22,4,new customers with low buying ability,BD,Bangladesh
BD3809718,253,1,13878.00,5.54,0.69,9.54,2,may lose,BD,Bangladesh
BD3839100,274,2,477954.00,5.62,1.10,13.08,5,need bring back,BD,Bangladesh
BD3877530,22,4,617670.00,3.14,1.61,13.33,1,new customers with high buying ability,BD,Bangladesh
BD3890736,113,1,27756.00,4.74,0.69,10.23,2,may lose,BD,Bangladesh
BD3896592,64,6,138042.00,4.17,1.95,11.84,4,new customers with low buying ability,BD,Bangladesh
BD3922806,99,2,24288.00,4.61,1.10,10.10,2,may lose,BD,Bangladesh
BD3922836,239,1,23136.00,5.48,0.69,10.05,2,may lose,BD,Bangladesh
BD3924378,106,5,87324.00,4.67,1.79,11.38,0,can not lose,BD,Bangladesh
BD3926838,330,1,46926.00,5.80,0.69,10.76,2,may lose,BD,Bangladesh
BD3930426,260,4,161568.00,5.56,1.61,11.99,0,can not lose,BD,Bangladesh
BD3930612,120,2,24288.00,4.80,1.10,10.10,2,may lose,BD,Bangladesh
BD3930636,127,1,188202.00,4.85,0.69,12.15,0,can not lose,BD,Bangladesh
BD3931572,22,3,65556.00,3.14,1.39,11.09,4,new customers with low buying ability,BD,Bangladesh
BD3944760,22,10,239262.00,3.14,2.40,12.39,1,new customers with high buying ability,BD,Bangladesh
BD3945726,43,1,68160.00,3.78,0.69,11.13,4,new customers with low buying ability,BD,Bangladesh
BD3957192,15,13,184116.00,2.77,2.64,12.12,1,new customers with high buying ability,BD,Bangladesh
BD3957606,92,1,10410.00,4.53,0.69,9.25,2,may lose,BD,Bangladesh
BD3959652,22,2,25896.00,3.14,1.10,10.16,4,new customers with low buying ability,BD,Bangladesh
BD3963558,113,2,69390.00,4.74,1.10,11.15,0,can not lose,BD,Bangladesh
BD3964440,309,1,12144.00,5.74,0.69,9.40,2,may lose,BD,Bangladesh
BD3971034,36,1,13632.00,3.61,0.69,9.52,2,may lose,BD,Bangladesh
BD3972186,176,2,41580.00,5.18,1.10,10.64,2,may lose,BD,Bangladesh
BD3973716,8,2,25776.00,2.20,1.10,10.16,4,new customers with low buying ability,BD,Bangladesh
BD4010568,253,1,13878.00,5.54,0.69,9.54,2,may lose,BD,Bangladesh
BD4017636,316,2,89724.00,5.76,1.10,11.40,0,can not lose,BD,Bangladesh
BD4035738,15,1,13632.00,2.77,0.69,9.52,4,new customers with low buying ability,BD,Bangladesh
BD4037004,351,1,29010.00,5.86,0.69,10.28,2,may lose,BD,Bangladesh
BD4043292,337,1,20790.00,5.82,0.69,9.94,2,may lose,BD,Bangladesh
BD4046736,162,1,12144.00,5.09,0.69,9.40,2,may lose,BD,Bangladesh
BD4050270,155,5,96468.00,5.05,1.79,11.48,0,can not lose,BD,Bangladesh
BD4056120,15,3,120900.00,2.77,1.39,11.70,4,new customers with low buying ability,BD,Bangladesh
BD4059474,246,1,20790.00,5.51,0.69,9.94,2,may lose,BD,Bangladesh
BD4059924,36,4,72984.00,3.61,1.61,11.20,4,new customers with low buying ability,BD,Bangladesh
BD4059942,57,2,82284.00,4.06,1.10,11.32,4,new customers with low buying ability,BD,Bangladesh
BD4073664,225,1,20790.00,5.42,0.69,9.94,2,may lose,BD,Bangladesh
BD4085592,281,1,82206.00,5.64,0.69,11.32,0,can not lose,BD,Bangladesh
BD4112826,344,1,46926.00,5.84,0.69,10.76,2,may lose,BD,Bangladesh
BD4141518,148,1,20790.00,5.00,0.69,9.94,2,may lose,BD,Bangladesh
BD4152210,295,3,453612.00,5.69,1.39,13.02,5,need bring back,BD,Bangladesh
BD4166460,36,1,13632.00,3.61,0.69,9.52,2,may lose,BD,Bangladesh
BD4178136,22,1,13632.00,3.14,0.69,9.52,4,new customers with low buying ability,BD,Bangladesh
BD4178952,316,1,27756.00,5.76,0.69,10.23,2,may lose,BD,Bangladesh
BD4201308,253,2,41580.00,5.54,1.10,10.64,2,may lose,BD,Bangladesh
BD4226760,22,5,61152.00,3.14,1.79,11.02,4,new customers with low buying ability,BD,Bangladesh
BD4231062,309,1,20790.00,5.74,0.69,9.94,2,may lose,BD,Bangladesh
BD4245180,232,1,20790.00,5.45,0.69,9.94,2,may lose,BD,Bangladesh
BD4254672,274,2,93852.00,5.62,1.10,11.45,0,can not lose,BD,Bangladesh
BD4262556,253,4,286608.00,5.54,1.61,12.57,0,can not lose,BD,Bangladesh
BD4262574,57,5,60960.00,4.06,1.79,11.02,4,new customers with low buying ability,BD,Bangladesh
BD4281870,99,1,12144.00,4.61,0.69,9.40,2,may lose,BD,Bangladesh
BD4283490,330,2,41574.00,5.80,1.10,10.64,2,may lose,BD,Bangladesh
BD4288134,106,2,47424.00,4.67,1.10,10.77,2,may lose,BD,Bangladesh
BD4313988,15,6,123408.00,2.77,1.95,11.72,4,new customers with low buying ability,BD,Bangladesh
BD4321296,309,1,46926.00,5.74,0.69,10.76,2,may lose,BD,Bangladesh
BD4375158,253,3,133518.00,5.54,1.39,11.80,0,can not lose,BD,Bangladesh
BD4375674,253,1,13878.00,5.54,0.69,9.54,2,may lose,BD,Bangladesh
BD4380342,162,1,20778.00,5.09,0.69,9.94,2,may lose,BD,Bangladesh
BD4383792,113,1,12144.00,4.74,0.69,9.40,2,may lose,BD,Bangladesh
BD4400208,295,1,10410.00,5.69,0.69,9.25,2,may lose,BD,Bangladesh
BD4402920,267,1,23136.00,5.59,0.69,10.05,2,may lose,BD,Bangladesh
BD4422558,316,1,46926.00,5.76,0.69,10.76,2,may lose,BD,Bangladesh
BD4440834,302,5,192570.00,5.71,1.79,12.17,0,can not lose,BD,Bangladesh
BD4447992,288,1,12144.00,5.67,0.69,9.40,2,may lose,BD,Bangladesh
BD4471224,85,1,10218.00,4.45,0.69,9.23,2,may lose,BD,Bangladesh
BD4473600,1,11,3277638.00,0.69,2.48,15.00,3,champions,BD,Bangladesh
BD4494018,22,2,53040.00,3.14,1.10,10.88,4,new customers with low buying ability,BD,Bangladesh
BD4508268,29,1,7494.00,3.40,0.69,8.92,2,may lose,BD,Bangladesh
BD4520244,57,1,13632.00,4.06,0.69,9.52,2,may lose,BD,Bangladesh
CN1001148,267,1,69114.00,5.59,0.69,11.14,0,can not lose,CN,China
CN1005282,71,2,32526.00,4.28,1.10,10.39,2,may lose,CN,China
CN1008258,1,5,539898.00,0.69,1.79,13.20,1,new customers with high buying ability,CN,China
CN1009602,344,1,69024.00,5.84,0.69,11.14,0,can not lose,CN,China
CN1035816,239,1,38172.00,5.48,0.69,10.55,2,may lose,CN,China
CN1036266,225,5,173400.00,5.42,1.79,12.06,0,can not lose,CN,China
CN1036812,239,2,83550.00,5.48,1.10,11.33,0,can not lose,CN,China
CN1039434,274,1,346680.00,5.62,0.69,12.76,0,can not lose,CN,China
CN1041024,239,4,292578.00,5.48,1.61,12.59,5,need bring back,CN,China
CN1046412,344,1,20328.00,5.84,0.69,9.92,2,may lose,CN,China
CN1049826,50,1,69024.00,3.93,0.69,11.14,4,new customers with low buying ability,CN,China
CN1051728,218,1,73068.00,5.39,0.69,11.20,0,can not lose,CN,China
CN1051848,330,1,84720.00,5.80,0.69,11.35,0,can not lose,CN,China
CN1052838,260,1,424920.00,5.56,0.69,12.96,5,need bring back,CN,China
CN1054014,190,1,81798.00,5.25,0.69,11.31,0,can not lose,CN,China
CN1054026,232,1,11166.00,5.45,0.69,9.32,2,may lose,CN,China
CN1057968,295,1,83580.00,5.69,0.69,11.33,0,can not lose,CN,China
CN1061028,176,1,18990.00,5.18,0.69,9.85,2,may lose,CN,China
CN1061706,71,1,69750.00,4.28,0.69,11.15,4,new customers with low buying ability,CN,China
CN1062558,106,3,66912.00,4.67,1.39,11.11,0,can not lose,CN,China
CN1063236,358,1,127134.00,5.88,0.69,11.75,0,can not lose,CN,China
CN1066956,197,1,18996.00,5.29,0.69,9.85,2,may lose,CN,China
CN1067196,43,1,19392.00,3.78,0.69,9.87,2,may lose,CN,China
CN1067688,120,4,81312.00,4.80,1.61,11.31,0,can not lose,CN,China
CN1068552,29,3,415692.00,3.40,1.39,12.94,1,new customers with high buying ability,CN,China
CN1069968,155,2,38124.00,5.05,1.10,10.55,2,may lose,CN,China
CN1070274,36,9,114744.00,3.61,2.30,11.65,4,new customers with low buying ability,CN,China
CN1074468,29,12,379782.00,3.40,2.56,12.85,1,new customers with high buying ability,CN,China
CN1074996,141,1,173382.00,4.96,0.69,12.06,0,can not lose,CN,China
CN1076598,267,1,124008.00,5.59,0.69,11.73,0,can not lose,CN,China
CN1081860,253,3,220554.00,5.54,1.39,12.30,0,can not lose,CN,China
CN1092228,225,1,69096.00,5.42,0.69,11.14,0,can not lose,CN,China
CN1096530,225,1,20328.00,5.42,0.69,9.92,2,may lose,CN,China
CN1109508,85,4,52104.00,4.45,1.61,10.86,4,new customers with low buying ability,CN,China
CN1109778,190,1,20328.00,5.25,0.69,9.92,2,may lose,CN,China
CN1118250,337,1,18960.00,5.82,0.69,9.85,2,may lose,CN,China
CN1125084,50,7,120558.00,3.93,2.08,11.70,4,new customers with low buying ability,CN,China
CN1127616,204,1,292410.00,5.32,0.69,12.59,0,can not lose,CN,China
CN1132098,15,1,19302.00,2.77,0.69,9.87,4,new customers with low buying ability,CN,China
CN1133274,281,1,69078.00,5.64,0.69,11.14,0,can not lose,CN,China
