id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment,country,country_clean
ID3740070,57,7,889482.00,4.06,2.08,13.70,5,need bring back,ID,Indonesia
ID3747006,50,10,556626.00,3.93,2.40,13.23,1,new customers with high buying ability,ID,Indonesia
ID3747036,316,1,121338.00,5.76,0.69,11.71,0,can not lose,ID,Indonesia
ID3747084,162,11,366384.00,5.09,2.48,12.81,5,need bring back,ID,Indonesia
ID3747402,15,2,1207500.00,2.77,1.10,14.00,1,new customers with high buying ability,ID,Indonesia
ID3747498,71,3,246642.00,4.28,1.39,12.42,5,need bring back,ID,Indonesia
ID3747516,8,13,3877848.00,2.20,2.64,15.17,3,champions,ID,Indonesia
ID3747654,1,24,5571300.00,0.69,3.22,15.53,3,champions,ID,Indonesia
ID3747696,71,1,38970.00,4.28,0.69,10.57,2,may lose,ID,Indonesia
ID3747918,22,4,249702.00,3.14,1.61,12.43,1,new customers with high buying ability,ID,Indonesia
ID3747972,15,6,1090074.00,2.77,1.95,13.90,1,new customers with high buying ability,ID,Indonesia
ID3747996,113,2,128964.00,4.74,1.10,11.77,0,can not lose,ID,Indonesia
ID3748020,43,1,120714.00,3.78,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3748032,36,4,605574.00,3.61,1.61,13.31,1,new customers with high buying ability,ID,Indonesia
ID3748128,1,41,3365856.00,0.69,3.74,15.03,3,champions,ID,Indonesia
ID3748338,92,2,243300.00,4.53,1.10,12.40,0,can not lose,ID,Indonesia
ID3748470,176,4,978192.00,5.18,1.61,13.79,5,need bring back,ID,Indonesia
ID3748614,176,2,289314.00,5.18,1.10,12.58,0,can not lose,ID,Indonesia
ID3748710,29,5,1419162.00,3.40,1.79,14.17,1,new customers with high buying ability,ID,Indonesia
ID3748806,71,7,2195556.00,4.28,2.08,14.60,5,need bring back,ID,Indonesia
ID3748902,36,1,603750.00,3.61,0.69,13.31,5,need bring back,ID,Indonesia
ID3748962,260,1,62352.00,5.56,0.69,11.04,0,can not lose,ID,Indonesia
ID3765960,15,2,342294.00,2.77,1.10,12.74,1,new customers with high buying ability,ID,Indonesia
ID3766014,8,12,1819278.00,2.20,2.56,14.41,3,champions,ID,Indonesia
ID3766320,15,12,2963442.00,2.77,2.56,14.90,3,champions,ID,Indonesia
ID3766338,309,1,39660.00,5.74,0.69,10.59,2,may lose,ID,Indonesia
ID3766362,43,7,1096074.00,3.78,2.08,13.91,1,new customers with high buying ability,ID,Indonesia
ID3766374,169,4,1448202.00,5.14,1.61,14.19,5,need bring back,ID,Indonesia
ID3766470,36,2,242412.00,3.61,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID3766506,50,1,38970.00,3.93,0.69,10.57,4,new customers with low buying ability,ID,Indonesia
ID3766518,295,2,243276.00,5.69,1.10,12.40,0,can not lose,ID,Indonesia
ID3766542,15,6,1253034.00,2.77,1.95,14.04,1,new customers with high buying ability,ID,Indonesia
ID3766548,239,1,64830.00,5.48,0.69,11.08,0,can not lose,ID,Indonesia
ID3766650,302,1,39660.00,5.71,0.69,10.59,2,may lose,ID,Indonesia
ID3766932,15,1,61854.00,2.77,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID3766950,99,2,102060.00,4.61,1.10,11.53,0,can not lose,ID,Indonesia
ID3767178,78,1,1207020.00,4.37,0.69,14.00,5,need bring back,ID,Indonesia
ID3767280,36,1,120750.00,3.61,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3767286,267,2,186468.00,5.59,1.10,12.14,0,can not lose,ID,Indonesia
ID3782532,36,2,299910.00,3.61,1.10,12.61,4,new customers with low buying ability,ID,Indonesia
ID3782790,57,5,235290.00,4.06,1.79,12.37,5,need bring back,ID,Indonesia
ID3782886,316,1,121638.00,5.76,0.69,11.71,0,can not lose,ID,Indonesia
ID3782958,148,10,916188.00,5.00,2.40,13.73,5,need bring back,ID,Indonesia
ID3783168,57,2,2031354.00,4.06,1.10,14.52,5,need bring back,ID,Indonesia
